timestamp,value,split
2026-04-29 16:05:00,43.75,context
2026-04-29 16:10:00,44.3915,context
2026-04-29 16:15:00,43.8149,context
2026-04-29 16:20:00,46.4445,context
2026-04-29 16:25:00,44.6851,context
2026-04-29 16:30:00,43.4419,context
2026-04-29 16:35:00,42.0334,context
2026-04-29 16:40:00,42.7761,context
2026-04-29 16:45:00,40.8626,context
2026-04-29 16:50:00,40.5779,context
2026-04-29 16:55:00,37.8252,context
2026-04-29 17:00:00,39.0745,context
2026-04-29 17:05:00,36.0108,context
2026-04-29 17:10:00,34.4874,context
2026-04-29 17:15:00,37.053,context
2026-04-29 17:20:00,35.6438,context
2026-04-29 17:25:00,37.6029,context
2026-04-29 17:30:00,37.0212,context
2026-04-29 17:35:00,39.9807,context
2026-04-29 17:40:00,41.2182,context
2026-04-29 17:45:00,39.6337,context
2026-04-29 17:50:00,38.4233,context
2026-04-29 17:55:00,39.6784,context
2026-04-29 18:00:00,39.4433,context
2026-04-29 18:05:00,36.1479,context
2026-04-29 18:10:00,38.259,context
2026-04-29 18:15:00,37.0222,context
2026-04-29 18:20:00,37.2308,context
2026-04-29 18:25:00,38.7031,context
2026-04-29 18:30:00,39.7363,context
2026-04-29 18:35:00,39.1614,context
2026-04-29 18:40:00,38.4789,context
2026-04-29 18:45:00,35.7238,context
2026-04-29 18:50:00,34.4059,context
2026-04-29 18:55:00,35.3475,context
2026-04-29 19:00:00,35.4636,context
2026-04-29 19:05:00,32.6462,context
2026-04-29 19:10:00,34.4479,context
2026-04-29 19:15:00,32.6394,context
2026-04-29 19:20:00,32.5289,context
2026-04-29 19:25:00,33.0724,context
2026-04-29 19:30:00,32.195,context
2026-04-29 19:35:00,34.6527,context
2026-04-29 19:40:00,35.9574,context
2026-04-29 19:45:00,36.1387,context
2026-04-29 19:50:00,38.5489,context
2026-04-29 19:55:00,35.658,context
2026-04-29 20:00:00,35.4374,context
2026-04-29 20:05:00,32.7962,context
2026-04-29 20:10:00,31.1925,context
2026-04-29 20:15:00,31.6522,context
2026-04-29 20:20:00,29.932,context
2026-04-29 20:25:00,31.1655,context
2026-04-29 20:30:00,32.7649,context
2026-04-29 20:35:00,32.9462,context
2026-04-29 20:40:00,29.9126,context
2026-04-29 20:45:00,28.663,context
2026-04-29 20:50:00,29.8981,context
2026-04-29 20:55:00,30.1327,context
2026-04-29 21:00:00,26.2593,context
2026-04-29 21:05:00,26.2833,context
2026-04-29 21:10:00,26.845,context
2026-04-29 21:15:00,25.8888,context
2026-04-29 21:20:00,27.7971,context
2026-04-29 21:25:00,26.9104,context
2026-04-29 21:30:00,26.1403,context
2026-04-29 21:35:00,27.056,context
2026-04-29 21:40:00,29.9683,context
2026-04-29 21:45:00,32.2076,context
2026-04-29 21:50:00,32.2152,context
2026-04-29 21:55:00,32.3757,context
2026-04-29 22:00:00,33.0058,context
2026-04-29 22:05:00,28.4821,context
2026-04-29 22:10:00,29.1772,context
2026-04-29 22:15:00,27.7007,context
2026-04-29 22:20:00,28.0245,context
2026-04-29 22:25:00,27.4809,context
2026-04-29 22:30:00,28.1117,context
2026-04-29 22:35:00,28.0733,context
2026-04-29 22:40:00,23.254,context
2026-04-29 22:45:00,24.0354,context
2026-04-29 22:50:00,25.3946,context
2026-04-29 22:55:00,26.2555,context
2026-04-29 23:00:00,26.1645,context
2026-04-29 23:05:00,27.4555,context
2026-04-29 23:10:00,27.6181,context
2026-04-29 23:15:00,27.9458,context
2026-04-29 23:20:00,29.1346,context
2026-04-29 23:25:00,29.1221,context
2026-04-29 23:30:00,27.2207,context
2026-04-29 23:35:00,23.294,context
2026-04-29 23:40:00,22.8981,context
2026-04-29 23:45:00,24.4187,context
2026-04-29 23:50:00,24.0401,context
2026-04-29 23:55:00,25.4498,context
2026-04-30 00:00:00,25.6693,context
2026-04-30 00:05:00,27.1389,context
2026-04-30 00:10:00,26.3753,context
2026-04-30 00:15:00,26.8704,context
2026-04-30 00:20:00,27.3487,context
2026-04-30 00:25:00,29.2488,context
2026-04-30 00:30:00,26.0515,context
2026-04-30 00:35:00,25.2062,context
2026-04-30 00:40:00,26.448,context
2026-04-30 00:45:00,28.5497,context
2026-04-30 00:50:00,28.3773,context
2026-04-30 00:55:00,27.4317,context
2026-04-30 01:00:00,28.2026,context
2026-04-30 01:05:00,29.4512,context
2026-04-30 01:10:00,28.3079,context
2026-04-30 01:15:00,28.3711,context
2026-04-30 01:20:00,29.7001,context
2026-04-30 01:25:00,31.8947,context
2026-04-30 01:30:00,32.0383,context
2026-04-30 01:35:00,31.1126,context
2026-04-30 01:40:00,30.1785,context
2026-04-30 01:45:00,30.3017,context
2026-04-30 01:50:00,29.3968,context
2026-04-30 01:55:00,29.0857,context
2026-04-30 02:00:00,26.9499,context
2026-04-30 02:05:00,29.9156,context
2026-04-30 02:10:00,27.7192,context
2026-04-30 02:15:00,26.9144,context
2026-04-30 02:20:00,27.0248,context
2026-04-30 02:25:00,29.9588,context
2026-04-30 02:30:00,28.8321,context
2026-04-30 02:35:00,27.5095,context
2026-04-30 02:40:00,26.558,context
2026-04-30 02:45:00,29.0639,context
2026-04-30 02:50:00,24.487,context
2026-04-30 02:55:00,23.311,context
2026-04-30 03:00:00,27.9125,context
2026-04-30 03:05:00,30.5996,context
2026-04-30 03:10:00,28.6499,context
2026-04-30 03:15:00,28.5887,context
2026-04-30 03:20:00,28.7008,context
2026-04-30 03:25:00,29.964,context
2026-04-30 03:30:00,32.5278,context
2026-04-30 03:35:00,32.5307,context
2026-04-30 03:40:00,31.1406,context
2026-04-30 03:45:00,31.9493,context
2026-04-30 03:50:00,30.4087,context
2026-04-30 03:55:00,28.5965,context
2026-04-30 04:00:00,25.9664,context
2026-04-30 04:05:00,26.6117,context
2026-04-30 04:10:00,25.9628,context
2026-04-30 04:15:00,24.9892,context
2026-04-30 04:20:00,26.3982,context
2026-04-30 04:25:00,25.3268,context
2026-04-30 04:30:00,21.4998,context
2026-04-30 04:35:00,21.3965,context
2026-04-30 04:40:00,22.1667,context
2026-04-30 04:45:00,22.621,context
2026-04-30 04:50:00,26.1947,context
2026-04-30 04:55:00,26.0327,context
2026-04-30 05:00:00,28.1366,context
2026-04-30 05:05:00,31.5899,context
2026-04-30 05:10:00,31.9277,context
2026-04-30 05:15:00,31.0252,context
2026-04-30 05:20:00,31.423,context
2026-04-30 05:25:00,30.7016,context
2026-04-30 05:30:00,31.4911,context
2026-04-30 05:35:00,31.5528,context
2026-04-30 05:40:00,30.5426,context
2026-04-30 05:45:00,32.5888,context
2026-04-30 05:50:00,33.4804,context
2026-04-30 05:55:00,32.926,context
2026-04-30 06:00:00,33.3451,context
2026-04-30 06:05:00,36.5925,context
2026-04-30 06:10:00,35.4272,context
2026-04-30 06:15:00,35.8439,context
2026-04-30 06:20:00,35.1608,context
2026-04-30 06:25:00,34.0943,context
2026-04-30 06:30:00,32.171,context
2026-04-30 06:35:00,32.4324,context
2026-04-30 06:40:00,34.043,context
2026-04-30 06:45:00,33.5196,context
2026-04-30 06:50:00,37.8977,context
2026-04-30 06:55:00,39.1666,context
2026-04-30 07:00:00,40.8731,context
2026-04-30 07:05:00,44.7952,context
2026-04-30 07:10:00,46.9655,context
2026-04-30 07:15:00,44.8505,context
2026-04-30 07:20:00,40.3921,context
2026-04-30 07:25:00,39.7744,context
2026-04-30 07:30:00,40.7558,context
2026-04-30 07:35:00,40.98,context
2026-04-30 07:40:00,41.3565,context
2026-04-30 07:45:00,43.2447,context
2026-04-30 07:50:00,43.4414,context
2026-04-30 07:55:00,44.2338,context
2026-04-30 08:00:00,42.2997,context
2026-04-30 08:05:00,43.4367,context
2026-04-30 08:10:00,45.9048,context
2026-04-30 08:15:00,45.733,context
2026-04-30 08:20:00,44.5007,context
2026-04-30 08:25:00,43.456,context
2026-04-30 08:30:00,42.5264,context
2026-04-30 08:35:00,41.6465,context
2026-04-30 08:40:00,40.0373,context
2026-04-30 08:45:00,95,context
2026-04-30 08:50:00,38.862,context
