timestamp,split,actual,predicted_mean,predicted_q10,predicted_q50,predicted_q90,is_anomaly
2024-05-05 00:00:00,context,97.2508,107.492,107.492,107.492,107.492,0
2024-05-06 00:00:00,context,97.9127,107.492,107.492,107.492,107.492,0
2024-05-07 00:00:00,context,98.8888,107.492,107.492,107.492,107.492,0
2024-05-08 00:00:00,context,96.2809,107.492,107.492,107.492,107.492,0
2024-05-09 00:00:00,context,97.9334,107.492,107.492,107.492,107.492,0
2024-05-10 00:00:00,context,99.0647,107.492,107.492,107.492,107.492,0
2024-05-11 00:00:00,context,100.762,107.492,107.492,107.492,107.492,0
2024-05-12 00:00:00,context,101.647,107.492,107.492,107.492,107.492,0
2024-05-13 00:00:00,context,102.649,107.492,107.492,107.492,107.492,0
2024-05-14 00:00:00,context,103.454,107.492,107.492,107.492,107.492,0
2024-05-15 00:00:00,context,104.811,107.492,107.492,107.492,107.492,0
2024-05-16 00:00:00,context,101.99,107.492,107.492,107.492,107.492,0
2024-05-17 00:00:00,context,99.7191,107.492,107.492,107.492,107.492,0
2024-05-18 00:00:00,context,98.6242,107.492,107.492,107.492,107.492,0
2024-05-19 00:00:00,context,98.4323,107.492,107.492,107.492,107.492,0
2024-05-20 00:00:00,context,99.0071,107.492,107.492,107.492,107.492,0
2024-05-21 00:00:00,context,99.4904,107.492,107.492,107.492,107.492,0
2024-05-22 00:00:00,context,101.172,107.492,107.492,107.492,107.492,0
2024-05-23 00:00:00,context,102.93,107.492,107.492,107.492,107.492,0
2024-05-24 00:00:00,context,101.591,107.492,107.492,107.492,107.492,0
2024-05-25 00:00:00,context,101.956,107.492,107.492,107.492,107.492,0
2024-05-26 00:00:00,context,100.667,107.492,107.492,107.492,107.492,0
2024-05-27 00:00:00,context,100.383,107.492,107.492,107.492,107.492,0
2024-05-28 00:00:00,context,100.869,107.492,107.492,107.492,107.492,0
2024-05-29 00:00:00,context,95.8413,107.492,107.492,107.492,107.492,0
2024-05-30 00:00:00,context,99.3712,107.492,107.492,107.492,107.492,0
2024-05-31 00:00:00,context,100.219,107.492,107.492,107.492,107.492,0
2024-06-01 00:00:00,context,99.3275,107.492,107.492,107.492,107.492,0
2024-06-02 00:00:00,context,102.241,99.7899,97.5643,99.9159,101.943,0
2024-06-03 00:00:00,context,101.71,100.365,97.6731,100.447,102.826,0
2024-06-04 00:00:00,context,101.912,100.716,97.8046,100.872,103.5,0
2024-06-05 00:00:00,context,101.17,100.796,97.7468,100.949,103.744,0
2024-06-06 00:00:00,context,103.708,100.876,97.6565,101.033,103.967,0
2024-06-07 00:00:00,context,103.545,100.774,97.5466,100.891,103.935,0
2024-06-08 00:00:00,context,103.778,100.6,97.3693,100.717,103.819,0
2024-06-09 00:00:00,context,105.669,100.283,97.0491,100.316,103.431,1
2024-06-10 00:00:00,context,106.6,99.5851,96.3615,99.5896,102.845,1
2024-06-11 00:00:00,context,106.513,99.5824,96.2889,99.5444,102.895,1
2024-06-12 00:00:00,context,108.302,99.6718,96.4611,99.6644,102.939,1
2024-06-13 00:00:00,context,112.505,99.5543,96.3956,99.6104,102.877,1
2024-06-14 00:00:00,context,113.042,99.8126,96.4902,99.8263,103.137,1
2024-06-15 00:00:00,context,113.241,100.147,96.7245,100.166,103.515,1
2024-06-16 00:00:00,context,113.531,100.672,97.1534,100.672,104.074,1
2024-06-17 00:00:00,context,115.784,100.66,97.1337,100.719,104.149,1
2024-06-18 00:00:00,context,114.748,100.657,97.0876,100.795,104.284,1
2024-06-19 00:00:00,context,114.27,100.653,97.0069,100.744,104.238,1
2024-06-20 00:00:00,context,111.665,100.53,96.7579,100.535,104.063,1
2024-06-21 00:00:00,context,109.7,100.213,96.4546,100.259,103.826,1
2024-06-22 00:00:00,context,108.851,99.6164,95.8882,99.6929,103.265,1
2024-06-23 00:00:00,context,108.76,99.6417,95.936,99.7166,103.272,1
2024-06-24 00:00:00,context,111.685,99.6113,95.9205,99.6978,103.209,1
2024-06-25 00:00:00,context,112.586,99.5305,95.875,99.6039,103.084,1
2024-06-26 00:00:00,context,111.056,99.6706,95.8958,99.7963,103.438,1
2024-06-27 00:00:00,context,109.85,100.097,96.2775,100.185,103.834,1
2024-06-28 00:00:00,context,112.139,100.222,96.4556,100.415,104.114,1
2024-06-29 00:00:00,context,114.05,100.402,96.4541,100.493,104.203,1
2024-06-30 00:00:00,context,114.098,100.623,96.5537,100.673,104.505,1
2024-07-01 00:00:00,context,113.343,100.736,96.6778,100.827,104.659,1
2024-07-02 00:00:00,context,115.272,100.749,96.7971,100.884,104.772,1
2024-07-03 00:00:00,context,113.567,100.61,96.6912,100.731,104.583,1
2024-07-04 00:00:00,context,114.237,113.011,112.226,113.453,114.389,0
2024-07-05 00:00:00,context,118.199,113.175,111.883,113.345,114.429,1
2024-07-06 00:00:00,context,118.563,113.205,111.582,113.341,114.649,1
2024-07-07 00:00:00,context,117.192,113.827,111.978,114.046,115.705,1
2024-07-08 00:00:00,context,117.915,114.713,112.359,115.002,116.909,1
2024-07-09 00:00:00,context,117.087,115.01,112.95,115.445,117.422,0
2024-07-10 00:00:00,context,114.664,114.894,112.754,115.792,117.945,0
2024-07-11 00:00:00,context,115.876,114.832,112.973,115.974,118.285,0
2024-07-12 00:00:00,context,117.835,115.391,112.765,116.129,118.943,0
2024-07-13 00:00:00,context,117.287,116.003,112.77,116.114,119.178,0
2024-07-14 00:00:00,context,116.625,115.259,112.266,116.04,119.012,0
2024-07-15 00:00:00,context,114.955,115.043,111.812,115.669,118.76,0
2024-07-16 00:00:00,context,114.697,113.983,111.006,114.868,118.376,0
2024-07-17 00:00:00,context,113.734,113.974,110.581,114.944,118.492,0
2024-07-18 00:00:00,context,112.022,113.376,109.575,114.295,118.28,0
2024-07-19 00:00:00,context,115.247,113.517,109.369,114.169,118.585,0
2024-07-20 00:00:00,context,116.056,113.531,109.039,114.412,119.34,0
2024-07-21 00:00:00,context,117.057,113.613,109.494,114.844,119.694,0
2024-07-22 00:00:00,context,118.618,113.885,109.219,114.98,120.31,0
2024-07-23 00:00:00,context,119.998,114.431,109.058,115.03,120.527,0
2024-07-24 00:00:00,context,119.257,113.742,108.349,114.73,120.866,0
2024-07-25 00:00:00,context,119.745,113.764,107.76,114.388,120.77,0
2024-07-26 00:00:00,context,119.263,112.579,106.826,113.94,120.753,0
2024-07-27 00:00:00,context,120.05,112.598,106.642,113.915,121.018,0
2024-07-28 00:00:00,context,120.667,112.42,105.674,113.595,121.462,0
2024-07-29 00:00:00,context,119.976,112.788,105.701,113.848,121.864,0
2024-07-30 00:00:00,context,117.608,112.306,105.108,113.402,121.845,0
2024-07-31 00:00:00,context,117.866,113.054,105.041,113.86,122.68,0
2024-08-01 00:00:00,context,117.505,113.004,105.308,114.138,123.84,0
2024-08-02 00:00:00,context,114.22,112.984,104.713,114.147,124.04,0
2024-08-03 00:00:00,context,115.093,113.281,104.248,114.387,125.203,0
2024-08-04 00:00:00,context,116.772,113.114,104.073,114.437,125.387,0
2024-08-05 00:00:00,context,121.286,117,114.566,116.979,119.069,1
2024-08-06 00:00:00,context,120.576,116.946,113.132,116.754,119.853,1
2024-08-07 00:00:00,context,119.606,116.183,111.966,116.718,120.529,0
2024-08-08 00:00:00,context,117.632,116.189,110.91,116.406,120.914,0
2024-08-09 00:00:00,context,118.001,115.603,110.033,116.344,121.401,0
2024-08-10 00:00:00,context,118.359,115.464,109.624,116.271,121.71,0
2024-08-11 00:00:00,context,116.928,115.443,109.082,116.342,121.953,0
2024-08-12 00:00:00,context,116.621,115.092,108.698,116.132,121.966,0
2024-08-13 00:00:00,context,113.211,115.797,108.171,116.374,122.463,0
2024-08-14 00:00:00,context,114.795,116.229,108.097,116.241,122.791,0
2024-08-15 00:00:00,context,113.475,114.805,107.433,116.031,122.869,0
2024-08-16 00:00:00,context,113.416,115.253,107.067,116.051,123.024,0
2024-08-17 00:00:00,context,111.015,115.055,106.772,116.01,123.185,0
2024-08-18 00:00:00,context,110.05,115.316,106.849,115.974,123.4,0
2024-08-19 00:00:00,context,109.589,114.842,106.457,115.872,123.424,0
2024-08-20 00:00:00,context,109.57,114.681,106.276,115.618,123.376,0
2024-08-21 00:00:00,context,110.362,114.878,105.91,115.474,123.405,0
2024-08-22 00:00:00,context,112.77,113.939,105.522,115.158,123.261,0
2024-08-23 00:00:00,context,114.016,113.88,105.072,115.008,123.508,0
2024-08-24 00:00:00,context,115.674,114.227,104.75,114.879,123.337,0
2024-08-25 00:00:00,context,118.21,114.314,104.401,114.92,124.085,0
2024-08-26 00:00:00,context,119.225,113.77,104.054,114.946,124.252,0
2024-08-27 00:00:00,context,119.159,113.576,103.582,114.741,124.365,0
2024-08-28 00:00:00,context,120.976,113.479,103.478,114.692,124.622,0
2024-08-29 00:00:00,context,122.939,113.711,103.023,114.68,124.867,0
2024-08-30 00:00:00,context,124.141,113.12,102.24,114.089,124.28,0
2024-08-31 00:00:00,context,121.462,112.971,102.347,113.93,124.624,0
2024-09-01 00:00:00,context,119.938,113.123,102.069,113.838,124.572,0
2024-09-02 00:00:00,context,119.445,113.147,101.626,113.834,124.881,0
2024-09-03 00:00:00,context,120.85,112.79,101.274,113.529,124.477,0
2024-09-04 00:00:00,context,120.811,112.51,101.326,113.472,124.947,0
2024-09-05 00:00:00,context,122.889,112.789,101.195,113.445,124.357,0
2024-09-06 00:00:00,context,125.338,122.846,120.454,122.96,125.243,1
2024-09-07 00:00:00,context,127.613,122.537,119.691,122.979,126.098,1
2024-09-08 00:00:00,context,129.941,122.494,118.903,123.049,127.063,1
2024-09-09 00:00:00,context,127.936,122.798,118.139,123.105,127.893,1
2024-09-10 00:00:00,context,128.865,122.669,117.497,123.202,128.701,1
2024-09-11 00:00:00,context,127.696,122.722,117.148,123.19,129.139,0
2024-09-12 00:00:00,context,124.576,122.528,116.578,123.339,129.718,0
2024-09-13 00:00:00,context,124.04,122.411,116.107,123.226,130.113,0
2024-09-14 00:00:00,context,126.53,122.352,115.372,123.171,130.69,0
2024-09-15 00:00:00,context,127.407,122.534,114.868,122.912,130.946,0
2024-09-16 00:00:00,context,131.322,121.846,114.359,123.086,131.275,1
2024-09-17 00:00:00,context,131.672,121.982,113.925,123.02,131.657,1
2024-09-18 00:00:00,context,136.596,121.982,113.489,123.096,132.227,1
2024-09-19 00:00:00,context,136.961,122.093,113.046,123.008,132.52,1
2024-09-20 00:00:00,context,137.007,121.898,112.762,123.148,133.026,1
2024-09-21 00:00:00,context,134.403,122.124,112.536,122.96,133.324,1
2024-09-22 00:00:00,context,136.66,122.064,111.847,123.007,133.603,1
2024-09-23 00:00:00,context,135.635,121.16,111.773,122.796,133.633,1
2024-09-24 00:00:00,context,134.325,121.572,111.282,122.652,133.885,1
2024-09-25 00:00:00,context,136.931,121.323,110.993,122.535,133.894,1
2024-09-26 00:00:00,context,139.331,121.176,110.415,122.45,134.508,1
2024-09-27 00:00:00,context,141.717,121.711,110.045,122.54,134.995,1
2024-09-28 00:00:00,context,140.949,121.363,109.872,122.52,135.458,1
2024-09-29 00:00:00,context,140.841,121.18,109.504,122.564,135.79,1
2024-09-30 00:00:00,context,140.715,121.297,108.986,122.573,136.303,1
2024-10-01 00:00:00,context,142.377,121.104,108.742,122.459,136.367,1
2024-10-02 00:00:00,context,145.733,121.418,108.588,122.373,136.551,1
2024-10-03 00:00:00,context,146.54,121.286,108.375,122.568,136.931,1
2024-10-04 00:00:00,context,150.946,121.167,108.259,122.465,136.89,1
2024-10-05 00:00:00,context,152.991,121.105,108.043,122.564,137.143,1
2024-10-06 00:00:00,context,152.454,121.058,107.57,122.333,137.673,1
2024-10-07 00:00:00,context,154.36,121.007,107.494,122.33,137.424,1
2024-10-08 00:00:00,context,158.361,153.775,152.451,154.72,157.192,1
2024-10-09 00:00:00,context,163.18,154.14,151.574,154.991,158.047,1
2024-10-10 00:00:00,context,166.111,155.021,150.639,155.195,159.226,1
2024-10-11 00:00:00,context,166.175,154.771,150.042,155.198,160.425,1
2024-10-12 00:00:00,context,165.636,153.826,148.7,155.274,161.095,1
2024-10-13 00:00:00,context,167.073,154.346,148.025,155.295,161.603,1
2024-10-14 00:00:00,context,171.322,154.394,147.354,155.508,162.501,1
2024-10-15 00:00:00,context,172.44,154.621,146.743,155.338,163.037,1
2024-10-16 00:00:00,context,173.62,153.28,146.268,155.399,164.191,1
2024-10-17 00:00:00,context,173.754,154.86,145.353,155.135,164.801,1
2024-10-18 00:00:00,context,172.901,154.213,144.564,155.37,165.188,1
2024-10-19 00:00:00,context,172.481,152.909,143.588,154.836,165.556,1
2024-10-20 00:00:00,context,172.832,152.772,143.007,154.693,166.488,1
2024-10-21 00:00:00,context,177.344,152.859,142.002,154.686,166.269,1
2024-10-22 00:00:00,context,176.707,153.364,142.019,154.986,167.235,1
2024-10-23 00:00:00,context,176.847,153.536,141.555,154.499,167.658,1
2024-10-24 00:00:00,context,174.566,153.129,141.302,155.023,168.544,1
2024-10-25 00:00:00,context,176.453,152.541,140.717,154.755,168.454,1
2024-10-26 00:00:00,context,180.107,152.539,140.283,154.551,168.634,1
2024-10-27 00:00:00,context,184.55,153.038,139.868,154.678,169.108,1
2024-10-28 00:00:00,context,185.114,153.182,139.21,154.361,169.799,1
2024-10-29 00:00:00,context,186.716,154.004,138.926,154.413,170.549,1
2024-10-30 00:00:00,context,186.286,152.514,138.793,154.813,171.361,1
2024-10-31 00:00:00,context,187.767,153.239,138.231,154.862,171.408,1
2024-11-01 00:00:00,context,188.654,152.975,138.07,155.26,172.217,1
2024-11-02 00:00:00,context,188.819,152.606,137.4,154.783,172.05,1
2024-11-03 00:00:00,context,189.209,152.826,137.517,154.989,172.283,1
2024-11-04 00:00:00,context,190.496,153.023,137.132,155.209,173.056,1
2024-11-05 00:00:00,context,189.658,153.149,137.192,155.012,173.048,1
2024-11-06 00:00:00,context,188.969,153.256,136.66,154.856,173.2,1
2024-11-07 00:00:00,context,193.871,152.453,135.878,154.881,173.717,1
2024-11-08 00:00:00,context,201.916,153.191,136.097,154.811,173.471,1
2024-11-09 00:00:00,context,198.301,202.15,199.878,202.797,205.835,1
2024-11-10 00:00:00,context,194.59,203.569,199.322,203.258,207.392,1
2024-11-11 00:00:00,context,191.816,203.135,198.035,203.73,209.128,1
2024-11-12 00:00:00,context,191.519,203.041,197.711,204.089,210.929,1
2024-11-13 00:00:00,context,194.11,201.964,196.192,204.322,211.728,1
2024-11-14 00:00:00,context,195.839,203.854,195.815,204.427,212.632,0
2024-11-15 00:00:00,context,196.345,202.725,194.773,204.622,213.672,0
2024-11-16 00:00:00,context,197.909,203.409,193.794,203.905,214.213,0
2024-11-17 00:00:00,context,195.865,202.318,193.164,204.313,215.426,0
2024-11-18 00:00:00,context,195.149,204.202,192.801,204.533,217.444,0
2024-11-19 00:00:00,context,195.09,204.918,192.389,205.232,218.46,0
2024-11-20 00:00:00,context,190.509,202.713,191.448,204.827,219.111,1
2024-11-21 00:00:00,context,187.219,202.986,191.218,205.093,220.662,1
2024-11-22 00:00:00,context,184.096,203.317,189.861,205.018,220.384,1
2024-11-23 00:00:00,context,186.218,203.759,190.016,205.175,221.599,1
2024-11-24 00:00:00,context,186.905,203.408,189.188,204.575,221.955,1
2024-11-25 00:00:00,context,188.626,202.944,188.963,205.252,223.255,1
2024-11-26 00:00:00,context,183.492,202.096,188.504,205.035,223.13,1
2024-11-27 00:00:00,context,179.453,203.043,187.542,204.845,223.846,1
2024-11-28 00:00:00,context,181.248,203.183,186.83,204.935,224.042,1
2024-11-29 00:00:00,context,173.848,203.517,185.922,204.467,225.116,1
2024-11-30 00:00:00,context,177.071,204.276,185.58,204.872,226.238,1
2024-12-01 00:00:00,context,172.294,201.721,185.327,205.368,227.346,1
2024-12-02 00:00:00,context,174.488,203.873,184.376,205.315,227.564,1
2024-12-03 00:00:00,context,172.177,204.263,184.62,206.346,228.973,1
2024-12-04 00:00:00,context,174.908,203.397,183.712,205.513,228.444,1
2024-12-05 00:00:00,context,183.53,204.289,184.114,206.128,229.096,1
2024-12-06 00:00:00,context,177.378,203.678,183.67,206.108,229.463,1
2024-12-07 00:00:00,context,179.238,204.519,183.966,205.918,229.396,1
2024-12-08 00:00:00,context,174.442,204.482,183.814,205.969,229.537,1
2024-12-09 00:00:00,context,175.562,203.001,182.696,205.981,230.493,1
2024-12-10 00:00:00,context,175.018,204.429,182.997,205.783,230.075,1
2024-12-11 00:00:00,context,175.359,174.246,171.274,174.924,178.534,0
2024-12-12 00:00:00,context,172.978,175.456,169.697,174.557,179.596,0
2024-12-13 00:00:00,context,175.015,174.217,168.605,174.916,181.529,0
2024-12-14 00:00:00,context,171.254,174.858,167.104,174.74,182.567,0
2024-12-15 00:00:00,context,174.473,174.644,165.616,174.576,183.453,0
2024-12-16 00:00:00,context,173.405,174.702,164.97,174.324,183.577,0
2024-12-17 00:00:00,context,169.795,174.084,163.939,174.863,185.129,0
2024-12-18 00:00:00,context,173.906,173.386,163.529,174.686,185.594,0
2024-12-19 00:00:00,context,173.73,173.661,162.41,174.647,186.433,0
2024-12-20 00:00:00,context,178.773,173.908,161.743,174.34,187.547,0
2024-12-21 00:00:00,context,182.079,173.324,161.005,174.799,188.352,0
2024-12-22 00:00:00,context,179.912,173.163,160.041,174.542,188.696,0
2024-12-23 00:00:00,context,179.683,172.867,158.922,174.663,189.698,0
